names,LDShadowLady,Tubbo,InTheLittleWood aka Martyn,Dangthatsalongname,Shubble,TheOrionSound,Solidarity,OwengeJuiceTV,Snifferish,olivesleepy,bekyamon,apokuna,soupforeloise,willowmvp,KrowFang,acho
"May 04, 2007",,,,,,,,,,,,,,,,
"May 05, 2007",,,,,,,,,,,,,,,,
"May 06, 2007",,,,,,,,,,,,,,,,
"May 07, 2007",,,,,,,,,,,,,,,,
"May 08, 2007",,,,,,,,,,,,,,,,
"May 09, 2007",,,,,,,,,,,,,,,,
"May 10, 2007",,,,,,,,,,,,,,,,
"May 11, 2007",,,,,,,,,,,,,,,,
"May 12, 2007",,,,,,,,,,,,,,,,
"May 13, 2007",,,,,,,,,,,,,,,,
"May 14, 2007",,,,,,,,,,,,,,,,
"May 15, 2007",,,,,,,,,,,,,,,,
"May 16, 2007",,,,,,,,,,,,,,,,
"May 17, 2007",,,,,,,,,,,,,,,,
"May 18, 2007",,,,,,,,,,,,,,,,
"May 19, 2007",,,,,,,,,,,,,,,,
"May 20, 2007",,,,,,,,,,,,,,,,
"May 21, 2007",,,,,,,,,,,,,,,,
"May 22, 2007",,,,,,,,,,,,,,,,
"May 23, 2007",,,,,,,,,,,,,,,,
"May 24, 2007",,,,,,,,,,,,,,,,
"May 25, 2007",,,,,,,,,,,,,,,,
"May 26, 2007",,,,,,,,,,,,,,,,
"May 27, 2007",,,,,,,,,,,,,,,,
"May 28, 2007",,,,,,,,,,,,,,,,
"May 29, 2007",,,,,,,,,,,,,,,,
"May 30, 2007",,,,,,,,,,,,,,,,
"May 31, 2007",,,,,,,,,,,,,,,,
"Jun 01, 2007",,,,,,,,,,,,,,,,
"Jun 02, 2007",,,,,,,,,,,,,,,,
"Jun 03, 2007",,,,,,,,,,,,,,,,
"Jun 04, 2007",,,,,,,,,,,,,,,,
"Jun 05, 2007",,,,,,,,,,,,,,,,
"Jun 06, 2007",,,,,,,,,,,,,,,,
"Jun 07, 2007",,,,,,,,,,,,,,,,
"Jun 08, 2007",,,,,,,,,,,,,,,,
"Jun 09, 2007",,,,,,,,,,,,,,,,
"Jun 10, 2007",,,,,,,,,,,,,,,,
"Jun 11, 2007",,,,,,,,,,,,,,,,
"Jun 12, 2007",,,,,,,,,,,,,,,,
"Jun 13, 2007",,,,,,,,,,,,,,,,
"Jun 14, 2007",,,,,,,,,,,,,,,,
"Jun 15, 2007",,,,,,,,,,,,,,,,
"Jun 16, 2007",,,,,,,,,,,,,,,,
"Jun 17, 2007",,,,,,,,,,,,,,,,
"Jun 18, 2007",,,,,,,,,,,,,,,,
"Jun 19, 2007",,,,,,,,,,,,,,,,
"Jun 20, 2007",,,,,,,,,,,,,,,,
"Jun 21, 2007",,,,,,,,,,,,,,,,
"Jun 22, 2007",,,,,,,,,,,,,,,,
"Jun 23, 2007",,,,,,,,,,,,,,,,
"Jun 24, 2007",,,,,,,,,,,,,,,,
"Jun 25, 2007",,,,,,,,,,,,,,,,
"Jun 26, 2007",,,,,,,,,,,,,,,,
"Jun 27, 2007",,,,,,,,,,,,,,,,
"Jun 28, 2007",,,,,,,,,,,,,,,,
"Jun 29, 2007",,,,,,,,,,,,,,,,
"Jun 30, 2007",,,,,,,,,,,,,,,,
"Jul 01, 2007",,,,,,,,,,,,,,,,
"Jul 02, 2007",,,,,,,,,,,,,,,,
"Jul 03, 2007",,,,,,,,,,,,,,,,
"Jul 04, 2007",,,,,,,,,,,,,,,,
"Jul 05, 2007",,,,,,,,,,,,,,,,
"Jul 06, 2007",,,,,,,,,,,,,,,,
"Jul 07, 2007",,,,,,,,,,,,,,,,
"Jul 08, 2007",,,,,,,,,,,,,,,,
"Jul 09, 2007",,,,,,,,,,,,,,,,
"Jul 10, 2007",,,,,,,,,,,,,,,,
"Jul 11, 2007",,,,,,,,,,,,,,,,
"Jul 12, 2007",,,,,,,,,,,,,,,,
"Jul 13, 2007",,,,,,,,,,,,,,,,
"Jul 14, 2007",,,,,,,,,,,,,,,,
"Jul 15, 2007",,,,,,,,,,,,,,,,
"Jul 16, 2007",,,,,,,,,,,,,,,,
"Jul 17, 2007",,,,,,,,,,,,,,,,
"Jul 18, 2007",,,,,,,,,,,,,,,,
"Jul 19, 2007",,,,,,,,,,,,,,,,
"Jul 20, 2007",,,,,,,,,,,,,,,,
"Jul 21, 2007",,,,,,,,,,,,,,,,
"Jul 22, 2007",,,,,,,,,,,,,,,,
"Jul 23, 2007",,,,,,,,,,,,,,,,
"Jul 24, 2007",,,,,,,,,,,,,,,,
"Jul 25, 2007",,,,,,,,,,,,,,,,
"Jul 26, 2007",,,,,,,,,,,,,,,,
"Jul 27, 2007",,,,,,,,,,,,,,,,
"Jul 28, 2007",,,,,,,,,,,,,,,,
"Jul 29, 2007",,,,,,,,,,,,,,,,
"Jul 30, 2007",,,,,,,,,,,,,,,,
"Jul 31, 2007",,,,,,,,,,,,,,,,
"Aug 01, 2007",,,,,,,,,,,,,,,,
"Aug 02, 2007",,,,,,,,,,,,,,,,
"Aug 03, 2007",,,,,,,,,,,,,,,,
"Aug 04, 2007",,,,,,,,,,,,,,,,
"Aug 05, 2007",,,,,,,,,,,,,,,,
"Aug 06, 2007",,,,,,,,,,,,,,,,
"Aug 07, 2007",,,,,,,,,,,,,,,,
"Aug 08, 2007",,,,,,,,,,,,,,,,
"Aug 09, 2007",,,,,,,,,,,,,,,,
"Aug 10, 2007",,,,,,,,,,,,,,,,
"Aug 11, 2007",,,,,,,,,,,,,,,,
"Aug 12, 2007",,,,,,,,,,,,,,,,
"Aug 13, 2007",,,,,,,,,,,,,,,,
"Aug 14, 2007",,,,,,,,,,,,,,,,
"Aug 15, 2007",,,,,,,,,,,,,,,,
"Aug 16, 2007",,,,,,,,,,,,,,,,
"Aug 17, 2007",,,,,,,,,,,,,,,,
"Aug 18, 2007",,,,,,,,,,,,,,,,
"Aug 19, 2007",,,,,,,,,,,,,,,,
"Aug 20, 2007",,,,,,,,,,,,,,,,
"Aug 21, 2007",,,,,,,,,,,,,,,,
"Aug 22, 2007",,,,,,,,,,,,,,,,
"Aug 23, 2007",,,,,,,,,,,,,,,,
"Aug 24, 2007",,,,,,,,,,,,,,,,
"Aug 25, 2007",,,,,,,,,,,,,,,,
"Aug 26, 2007",,,,,,,,,,,,,,,,
"Aug 27, 2007",,,,,,,,,,,,,,,,
"Aug 28, 2007",,,,,,,,,,,,,,,,
"Aug 29, 2007",,,,,,,,,,,,,,,,
"Aug 30, 2007",,,,,,,,,,,,,,,,
"Aug 31, 2007",,,,,,,,,,,,,,,,
"Sep 01, 2007",,,,,,,,,,,,,,,,
"Sep 02, 2007",,,,,,,,,,,,,,,,
"Sep 03, 2007",,,,,,,,,,,,,,,,
"Sep 04, 2007",,,,,,,,,,,,,,,,
"Sep 05, 2007",,,,,,,,,,,,,,,,
"Sep 06, 2007",,,,,,,,,,,,,,,,
"Sep 07, 2007",,,,,,,,,,,,,,,,
"Sep 08, 2007",,,,,,,,,,,,,,,,
"Sep 09, 2007",,,,,,,,,,,,,,,,
"Sep 10, 2007",,,,,,,,,,,,,,,,
"Sep 11, 2007",,,,,,,,,,,,,,,,
"Sep 12, 2007",,,,,,,,,,,,,,,,
"Sep 13, 2007",,,,,,,,,,,,,,,,
"Sep 14, 2007",,,,,,,,,,,,,,,,
"Sep 15, 2007",,,,,,,,,,,,,,,,
"Sep 16, 2007",,,,,,,,,,,,,,,,
"Sep 17, 2007",,,,,,,,,,,,,,,,
"Sep 18, 2007",,,,,,,,,,,,,,,,
"Sep 19, 2007",,,,,,,,,,,,,,,,
"Sep 20, 2007",,,,,,,,,,,,,,,,
"Sep 21, 2007",,,,,,,,,,,,,,,,
"Sep 22, 2007",,,,,,,,,,,,,,,,
"Sep 23, 2007",,,,,,,,,,,,,,,,
"Sep 24, 2007",,,,,,,,,,,,,,,,
"Sep 25, 2007",,,,,,,,,,,,,,,,
"Sep 26, 2007",,,,,,,,,,,,,,,,
"Sep 27, 2007",,,,,,,,,,,,,,,,
"Sep 28, 2007",,,,,,,,,,,,,,,,
"Sep 29, 2007",,,,,,,,,,,,,,,,
"Sep 30, 2007",,,,,,,,,,,,,,,,
"Oct 01, 2007",,,,,,,,,,,,,,,,
"Oct 02, 2007",,,,,,,,,,,,,,,,
"Oct 03, 2007",,,,,,,,,,,,,,,,
"Oct 04, 2007",,,,,,,,,,,,,,,,
"Oct 05, 2007",,,,,,,,,,,,,,,,
"Oct 06, 2007",,,,,,,,,,,,,,,,
"Oct 07, 2007",,,,,,,,,,,,,,,,
"Oct 08, 2007",,,,,,,,,,,,,,,,
"Oct 09, 2007",,,,,,,,,,,,,,,,
"Oct 10, 2007",,,,,,,,,,,,,,,,
"Oct 11, 2007",,,,,,,,,,,,,,,,
"Oct 12, 2007",,,,,,,,,,,,,,,,
"Oct 13, 2007",,,,,,,,,,,,,,,,
"Oct 14, 2007",,,,,,,,,,,,,,,,
"Oct 15, 2007",,,,,,,,,,,,,,,,
"Oct 16, 2007",,,,,,,,,,,,,,,,
"Oct 17, 2007",,,,,,,,,,,,,,,,
"Oct 18, 2007",,,,,,,,,,,,,,,,
"Oct 19, 2007",,,,,,,,,,,,,,,,
"Oct 20, 2007",,,,,,,,,,,,,,,,
"Oct 21, 2007",,,,,,,,,,,,,,,,
"Oct 22, 2007",,,,,,,,,,,,,,,,
"Oct 23, 2007",,,,,,,,,,,,,,,,
"Oct 24, 2007",,,,,,,,,,,,,,,,
"Oct 25, 2007",,,,,,,,,,,,,,,,
"Oct 26, 2007",,,,,,,,,,,,,,,,
"Oct 27, 2007",,,,,,,,,,,,,,,,
"Oct 28, 2007",,,,,,,,,,,,,,,,
"Oct 29, 2007",,,,,,,,,,,,,,,,
"Oct 30, 2007",,,,,,,,,,,,,,,,
"Oct 31, 2007",,,,,,,,,,,,,,,,
"Nov 01, 2007",,,,,,,,,,,,,,,,
"Nov 02, 2007",,,,,,,,,,,,,,,,
"Nov 03, 2007",,,,,,,,,,,,,,,,
"Nov 04, 2007",,,,,,,,,,,,,,,,
"Nov 05, 2007",,,,,,,,,,,,,,,,
"Nov 06, 2007",,,,,,,,,,,,,,,,
"Nov 07, 2007",,,,,,,,,,,,,,,,
"Nov 08, 2007",,,,,,,,,,,,,,,,
"Nov 09, 2007",,,,,,,,,,,,,,,,
"Nov 10, 2007",,,,,,,,,,,,,,,,
"Nov 11, 2007",,,,,,,,,,,,,,,,
"Nov 12, 2007",,,,,,,,,,,,,,,,
"Nov 13, 2007",,,,,,,,,,,,,,,,
"Nov 14, 2007",,,,,,,,,,,,,,,,
"Nov 15, 2007",,,,,,,,,,,,,,,,
"Nov 16, 2007",,,,,,,,,,,,,,,,
"Nov 17, 2007",,,,,,,,,,,,,,,,
"Nov 18, 2007",,,,,,,,,,,,,,,,
"Nov 19, 2007",,,,,,,,,,,,,,,,
"Nov 20, 2007",,,,,,,,,,,,,,,,
"Nov 21, 2007",,,,,,,,,,,,,,,,
"Nov 22, 2007",,,,,,,,,,,,,,,,
"Nov 23, 2007",,,,,,,,,,,,,,,,
"Nov 24, 2007",,,,,,,,,,,,,,,,
"Nov 25, 2007",,,,,,,,,,,,,,,,
"Nov 26, 2007",,,,,,,,,,,,,,,,
"Nov 27, 2007",,,,,,,,,,,,,,,,
"Nov 28, 2007",,,,,,,,,,,,,,,,
"Nov 29, 2007",,,,,,,,,,,,,,,,
"Nov 30, 2007",,,,,,,,,,,,,,,,
"Dec 01, 2007",,,,,,,,,,,,,,,,
"Dec 02, 2007",,,,,,,,,,,,,,,,
"Dec 03, 2007",,,,,,,,,,,,,,,,
"Dec 04, 2007",,,,,,,,,,,,,,,,
"Dec 05, 2007",,,,,,,,,,,,,,,,
"Dec 06, 2007",,,,,,,,,,,,,,,,
"Dec 07, 2007",,,,,,,,,,,,,,,,
"Dec 08, 2007",,,,,,,,,,,,,,,,
"Dec 09, 2007",,,,,,,,,,,,,,,,
"Dec 10, 2007",,,,,,,,,,,,,,,,
"Dec 11, 2007",,,,,,,,,,,,,,,,
"Dec 12, 2007",,,,,,,,,,,,,,,,
"Dec 13, 2007",,,,,,,,,,,,,,,,
"Dec 14, 2007",,,,,,,,,,,,,,,,
"Dec 15, 2007",,,,,,,,,,,,,,,,
"Dec 16, 2007",,,,,,,,,,,,,,,,
"Dec 17, 2007",,,,,,,,,,,,,,,,
"Dec 18, 2007",,,,,,,,,,,,,,,,
"Dec 19, 2007",,,,,,,,,,,,,,,,
"Dec 20, 2007",,,,,,,,,,,,,,,,
"Dec 21, 2007",,,,,,,,,,,,,,,,
"Dec 22, 2007",,,,,,,,,,,,,,,,
"Dec 23, 2007",,,,,,,,,,,,,,,,
"Dec 24, 2007",,,,,,,,,,,,,,,,
"Dec 25, 2007",,,,,,,,,,,,,,,,
"Dec 26, 2007",,,,,,,,,,,,,,,,
"Dec 27, 2007",,,,,,,,,,,,,,,,
"Dec 28, 2007",,,,,,,,,,,,,,,,
"Dec 29, 2007",,,,,,,,,,,,,,,,
"Dec 30, 2007",,,,,,,,,,,,,,,,
"Dec 31, 2007",,,,,,,,,,,,,,,,
"Jan 01, 2008",,,,,,,,,,,,,,,,
"Jan 02, 2008",,,,,,,,,,,,,,,,
"Jan 03, 2008",,,,,,,,,,,,,,,,
"Jan 04, 2008",,,,,,,,,,,,,,,,
"Jan 05, 2008",,,,,,,,,,,,,,,,
"Jan 06, 2008",,,,,,,,,,,,,,,,
"Jan 07, 2008",,,,,,,,,,,,,,,,
"Jan 08, 2008",,,,,,,,,,,,,,,,
"Jan 09, 2008",,,,,,,,,,,,,,,,
"Jan 10, 2008",,,,,,,,,,,,,,,,
"Jan 11, 2008",,,,,,,,,,,,,,,,
"Jan 12, 2008",,,,,,,,,,,,,,,,
"Jan 13, 2008",,,,,,,,,,,,,,,,
"Jan 14, 2008",,,,,,,,,,,,,,,,
"Jan 15, 2008",,,,,,,,,,,,,,,,
"Jan 16, 2008",,,,,,,,,,,,,,,,
"Jan 17, 2008",,,,,,,,,,,,,,,,
"Jan 18, 2008",,,,,,,,,,,,,,,,
"Jan 19, 2008",,,,,,,,,,,,,,,,
"Jan 20, 2008",,,,,,,,,,,,,,,,
"Jan 21, 2008",,,,,,,,,,,,,,,,
"Jan 22, 2008",,,,,,,,,,,,,,,,
"Jan 23, 2008",,,,,,,,,,,,,,,,
"Jan 24, 2008",,,,,,,,,,,,,,,,
"Jan 25, 2008",,,,,,,,,,,,,,,,
"Jan 26, 2008",,,,,,,,,,,,,,,,
"Jan 27, 2008",,,,,,,,,,,,,,,,
"Jan 28, 2008",,,,,,,,,,,,,,,,
"Jan 29, 2008",,,,,,,,,,,,,,,,
"Jan 30, 2008",,,,,,,,,,,,,,,,
"Jan 31, 2008",,,,,,,,,,,,,,,,
"Feb 01, 2008",,,,,,,,,,,,,,,,
"Feb 02, 2008",,,,,,,,,,,,,,,,
"Feb 03, 2008",,,,,,,,,,,,,,,,
"Feb 04, 2008",,,,,,,,,,,,,,,,
"Feb 05, 2008",,,,,,,,,,,,,,,,
"Feb 06, 2008",,,,,,,,,,,,,,,,
"Feb 07, 2008",,,,,,,,,,,,,,,,
"Feb 08, 2008",,,,,,,,,,,,,,,,
"Feb 09, 2008",,,,,,,,,,,,,,,,
"Feb 10, 2008",,,,,,,,,,,,,,,,
"Feb 11, 2008",,,,,,,,,,,,,,,,
"Feb 12, 2008",,,,,,,,,,,,,,,,
"Feb 13, 2008",,,,,,,,,,,,,,,,
"Feb 14, 2008",,,,,,,,,,,,,,,,
"Feb 15, 2008",,,,,,,,,,,,,,,,
"Feb 16, 2008",,,,,,,,,,,,,,,,
"Feb 17, 2008",,,,,,,,,,,,,,,,
"Feb 18, 2008",,,,,,,,,,,,,,,,
"Feb 19, 2008",,,,,,,,,,,,,,,,
"Feb 20, 2008",,,,,,,,,,,,,,,,
"Feb 21, 2008",,,,,,,,,,,,,,,,
"Feb 22, 2008",,,,,,,,,,,,,,,,
"Feb 23, 2008",,,,,,,,,,,,,,,,
"Feb 24, 2008",,,,,,,,,,,,,,,,
"Feb 25, 2008",,,,,,,,,,,,,,,,
"Feb 26, 2008",,,,,,,,,,,,,,,,
"Feb 27, 2008",,,,,,,,,,,,,,,,
"Feb 28, 2008",,,,,,,,,,,,,,,,
"Feb 29, 2008",,,,,,,,,,,,,,,,
"Mar 01, 2008",,,,,,,,,,,,,,,,
"Mar 02, 2008",,,,,,,,,,,,,,,,
"Mar 03, 2008",,,,,,,,,,,,,,,,
"Mar 04, 2008",,,,,,,,,,,,,,,,
"Mar 05, 2008",,,,,,,,,,,,,,,,
"Mar 06, 2008",,,,,,,,,,,,,,,,
"Mar 07, 2008",,,,,,,,,,,,,,,,
"Mar 08, 2008",,,,,,,,,,,,,,,,
"Mar 09, 2008",,,,,,,,,,,,,,,,
"Mar 10, 2008",,,,,,,,,,,,,,,,
"Mar 11, 2008",,,,,,,,,,,,,,,,
"Mar 12, 2008",,,,,,,,,,,,,,,,
"Mar 13, 2008",,,,,,,,,,,,,,,,
"Mar 14, 2008",,,,,,,,,,,,,,,,
"Mar 15, 2008",,,,,,,,,,,,,,,,
"Mar 16, 2008",,,,,,,,,,,,,,,,
"Mar 17, 2008",,,,,,,,,,,,,,,,
"Mar 18, 2008",,,,,,,,,,,,,,,,
"Mar 19, 2008",,,,,,,,,,,,,,,,
"Mar 20, 2008",,,,,,,,,,,,,,,,
"Mar 21, 2008",,,,,,,,,,,,,,,,
"Mar 22, 2008",,,,,,,,,,,,,,,,
"Mar 23, 2008",,,,,,,,,,,,,,,,
"Mar 24, 2008",,,,,,,,,,,,,,,,
"Mar 25, 2008",,,,,,,,,,,,,,,,
"Mar 26, 2008",,,,,,,,,,,,,,,,
"Mar 27, 2008",,,,,,,,,,,,,,,,
"Mar 28, 2008",,,,,,,,,,,,,,,,
"Mar 29, 2008",,,,,,,,,,,,,,,,
"Mar 30, 2008",,,,,,,,,,,,,,,,
"Mar 31, 2008",,,,,,,,,,,,,,,,
"Apr 01, 2008",,,,,,,,,,,,,,,,
"Apr 02, 2008",,,,,,,,,,,,,,,,
"Apr 03, 2008",,,,,,,,,,,,,,,,
"Apr 04, 2008",,,,,,,,,,,,,,,,
"Apr 05, 2008",,,,,,,,,,,,,,,,
"Apr 06, 2008",,,,,,,,,,,,,,,,
"Apr 07, 2008",,,,,,,,,,,,,,,,
"Apr 08, 2008",,,0,,,,,,,,,,,,,
"Apr 09, 2008",,,,,,,,,,,,,,,,
"Apr 10, 2008",,,,,,,,,,,,,,,,
"Apr 11, 2008",,,,,,,,,,,,,,,,
"Apr 12, 2008",,,,,,,,,,,,,,,,
"Apr 13, 2008",,,,,,,,,,,,,,,,
"Apr 14, 2008",,,,,,,,,,,,,,,,
"Apr 15, 2008",,,,,,,,,,,,,,,,
"Apr 16, 2008",,,,,,,,,,,,,,,,
"Apr 17, 2008",,,,,,,,,,,,,,,,
"Apr 18, 2008",,,,,,,,,,,,,,,,
"Apr 19, 2008",,,,,,,,,,,,,,,,
"Apr 20, 2008",,,,,,,,,,,,,,,,
"Apr 21, 2008",,,,,,,,,,,,,,,,
"Apr 22, 2008",,,,,,,,,,,,,,,,
"Apr 23, 2008",,,,,,,,,,,,,,,,
"Apr 24, 2008",,,,,,,,,,,,,,,,
"Apr 25, 2008",,,,,,,,,,,,,,,,
"Apr 26, 2008",,,,,,,,,,,,,,,,
"Apr 27, 2008",,,,,,,,,,,,,,,,
"Apr 28, 2008",,,,,,,,,,,,,,,,
"Apr 29, 2008",,,,,,,,,,,,,,,,
"Apr 30, 2008",,,,,,,,,,,,,,,,
"May 01, 2008",,,,,,,,,,,,,,,,
"May 02, 2008",,,,,,,,,,,,,,,,
"May 03, 2008",,,0,,,,,,,,,,,,,
"May 04, 2008",,,,,,,,,,,,,,,,
"May 05, 2008",,,,,,,,,,,,,,,,
"May 06, 2008",,,,,,,,,,,,,,,,
"May 07, 2008",,,,,,,,,,,,,,,,
"May 08, 2008",,,,,,,,,,,,,,,,
"May 09, 2008",,,,,,,,,,,,,,,,
"May 10, 2008",,,,,,,,,,,,,,,,
"May 11, 2008",,,,,,,,,,,,,,,,
"May 12, 2008",,,,,,,,,,,,,,,,
"May 13, 2008",,,,,,,,,,,,,,,,
"May 14, 2008",,,,,,,,,,,,,,,,
"May 15, 2008",,,,,,,,,,,,,,,,
"May 16, 2008",,,,,,,,,,,,,,,,
"May 17, 2008",,,,,,,,,,,,,,,,
"May 18, 2008",,,,,,,,,,,,,,,,
"May 19, 2008",,,,,,,,,,,,,,,,
"May 20, 2008",,,,,,,,,,,,,,,,
"May 21, 2008",,,,,,,,,,,,,,,,
"May 22, 2008",,,,,,,,,,,,,,,,
"May 23, 2008",,,,,,,,,,,,,,,,
"May 24, 2008",,,,,,,,,,,,,,,,
"May 25, 2008",,,,,,,,,,,,,,,,
"May 26, 2008",,,,,,,,,,,,,,,,
"May 27, 2008",,,,,,,,,,,,,,,,
"May 28, 2008",,,,,,,,,,,,,,,,
"May 29, 2008",,,,,,,,,,,,,,,,
"May 30, 2008",,,,,,,,,,,,,,,,
"May 31, 2008",,,,,,,,,,,,,,,,
"Jun 01, 2008",,,,,,,,,,,,,,,,
"Jun 02, 2008",,,,,,,,,,,,,,,,
"Jun 03, 2008",,,,,,,,,,,,,,,,
"Jun 04, 2008",,,,,,,,,,,,,,,,
"Jun 05, 2008",,,,,,,,,,,,,,,,
"Jun 06, 2008",,,,,,,,,,,,,,,,
"Jun 07, 2008",,,,,,,,,,,,,,,,
"Jun 08, 2008",,,,,,,,,,,,,,,,
"Jun 09, 2008",,,,,,,,,,,,,,,,
"Jun 10, 2008",,,,,,,,,,,,,,,,
"Jun 11, 2008",,,,,,,,,,,,,,,,
"Jun 12, 2008",,,,,,,,,,,,,,,,
"Jun 13, 2008",,,,,,,,,,,,,,,,
"Jun 14, 2008",,,,,,,,,,,,,,,,
"Jun 15, 2008",,,,,,,,,,,,,,,,
"Jun 16, 2008",,,,,,,,,,,,,,,,
"Jun 17, 2008",,,,,,,,,,,,,,,,
"Jun 18, 2008",,,,,,,,,,,,,,,,
"Jun 19, 2008",,,,,,,,,,,,,,,,
"Jun 20, 2008",,,,,,,,,,,,,,,,
"Jun 21, 2008",,,,,,,,,,,,,,,,
"Jun 22, 2008",,,,,,,,,,,,,,,,
"Jun 23, 2008",,,,,,,,,,,,,,,,
"Jun 24, 2008",,,,,,,,,,,,,,,,
"Jun 25, 2008",,,,,,,,,,,,,,,,
"Jun 26, 2008",,,,,,,,,,,,,,,,
"Jun 27, 2008",,,,,,,,,,,,,,,,
"Jun 28, 2008",,,,,,,,,,,,,,,,
"Jun 29, 2008",,,,,,,,,,,,,,,,
"Jun 30, 2008",,,,,,,,,,,,,,,,
"Jul 01, 2008",,,,,,,,,,,,,,,,
"Jul 02, 2008",,,,,,,,,,,,,,,,
"Jul 03, 2008",,,,,,,,,,,,,,,,
"Jul 04, 2008",,,,,,,,,,,,,,,,
"Jul 05, 2008",,,,,,,,,,,,,,,,
"Jul 06, 2008",,,,,,,,,,,,,,,,
"Jul 07, 2008",,,,,,,,,,,,,,,,
"Jul 08, 2008",,,,,,,,,,,,,,,,
"Jul 09, 2008",,,,,,,,,,,,,,,,
"Jul 10, 2008",,,,,,,,,,,,,,,,
"Jul 11, 2008",,,,,,,,,,,,,,,,
"Jul 12, 2008",,,,,,,,,,,,,,,,
"Jul 13, 2008",,,,,,,,,,,,,,,,
"Jul 14, 2008",,,,,,,,,,,,,,,,
"Jul 15, 2008",,,,,,,,,,,,,,,,
"Jul 16, 2008",,,,,,,,,,,,,,,,
"Jul 17, 2008",,,,,,,,,,,,,,,,
"Jul 18, 2008",,,,,,,,,,,,,,,,
"Jul 19, 2008",,,,,,,,,,,,,,,,
"Jul 20, 2008",,,,,,,,,,,,,,,,
"Jul 21, 2008",,,,,,,,,,,,,,,,
"Jul 22, 2008",,,,,,,,,,,,,,,,
"Jul 23, 2008",,,,,,,,,,,,,,,,
"Jul 24, 2008",,,,,,,,,,,,,,,,
"Jul 25, 2008",,,,,,,,,,,,,,,,
"Jul 26, 2008",,,,,,,,,,,,,,,,
"Jul 27, 2008",,,,,,,,,,,,,,,,
"Jul 28, 2008",,,,,,,,,,,,,,,,
"Jul 29, 2008",,,,,,,,,,,,,,,,
"Jul 30, 2008",,,,,,,,,,,,,,,,
"Jul 31, 2008",,,,,,,,,,,,,,,,
"Aug 01, 2008",,,,,,,,,,,,,,,,
"Aug 02, 2008",,,,,,,,,,,,,,,,
"Aug 03, 2008",,,,,,,,,,,,,,,,
"Aug 04, 2008",,,,,,,,,,,,,,,,
"Aug 05, 2008",,,,,,,,,,,,,,,,
"Aug 06, 2008",,,,,,,,,,,,,,,,
"Aug 07, 2008",,,,,,,,,,,,,,,,
"Aug 08, 2008",,,,,,,,,,,,,,,,
"Aug 09, 2008",,,,,,,,,,,,,,,,
"Aug 10, 2008",,,,,,,,,,,,,,,,
"Aug 11, 2008",,,,,,,,,,,,,,,,
"Aug 12, 2008",,,,,,,,,,,,,,,,
"Aug 13, 2008",,,,,,,,,,,,,,,,
"Aug 14, 2008",,,,,,,,,,,,,,,,
"Aug 15, 2008",,,,,,,,,,,,,,,,
"Aug 16, 2008",,,,,,,,,,,,,,,,
"Aug 17, 2008",,,,,,,,,,,,,,,,
"Aug 18, 2008",,,,,,,,,,,,,,,,
"Aug 19, 2008",,,,,,,,,,,,,,,,
"Aug 20, 2008",,,,,,,,,,,,,,,,
"Aug 21, 2008",,,,,,,,,,,,,,,,
